sentence	polarity	positive	neutral	negative
复过葛多，有犹太老人互相商兑，又以铜称平准金钱。 	 neutral 	0.4774948	0.30812833	0.21437682
久之已达敝庐，止而瞰之。 	 neutral 	0.4774948	0.30812833	0.21437682
儿卧榻上，辗转弗宁，母倦极，已寐， 	 negative 	0.423509	0.3976891	0.17880188
燕入室，置玉于针玦之次。 	 neutral 	0.4774948	0.30812833	0.21437682
又绕榻而飞，以翼扇病儿额。 	 negative 	0.423509	0.3976891	0.17880188
儿曰：“吾觉竟体清凉，疾当已矣。”遂沉睡。 	 positive 	0.598444	0.24664664	0.15490942
燕返白王子， 	 neutral 	0.4774948	0.30812833	0.21437682
且曰：“事良诡奇,今日冰寒而吾觉春温，何也？” 	 neutral 	0.4774948	0.30812833	0.21437682
王子曰：“以汝方成一善事故耳。” 	 neutral 	0.4774948	0.30812833	0.21437682
燕乃覃思，未几即眠， 	 neutral 	0.4774948	0.30812833	0.21437682
盖凡有思索，恒令入睡也。 	 neutral 	0.4774948	0.30812833	0.21437682
侵晨，燕飞就水畔沐浴， 	 neutral 	0.4774948	0.30812833	0.21437682
有鸟学教师方过桥上，见之曰:“物色奇哉！ 	 positive 	0.598444	0.24664664	0.15490942
冬日见燕也。” 	 neutral 	0.4774948	0.30812833	0.21437682
遂作宏文一篇，载之日报， 	 neutral 	0.4774948	0.30812833	0.21437682
人皆传诵，以其文鸿博，多函奥谊，为众所弗解者也。 	 positive 	0.598444	0.24664664	0.15490942
燕曰：“吾今夜往埃及矣。”念此乃大悦， 	 positive 	0.598444	0.24664664	0.15490942
随遍访碑碣,又坐圣寺塔顶者久之。 	 positive 	0.598444	0.24664664	0.15490942
瓦雀见燕,便啾啾相语曰：“何来此珍客也？”而燕则敖游乐甚。 	 positive 	0.598444	0.24664664	0.15490942
月上，燕返就王子， 	 neutral 	0.4774948	0.30812833	0.21437682
语之曰:“君无事于埃及乎？吾今行矣。” 	 neutral 	0.4774948	0.30812833	0.21437682
王子曰：“燕子，燕子，汝不能更住一宵乎？” 	 neutral 	0.4774948	0.30812833	0.21437682
燕曰:“第埃及有人待我。 	 neutral 	0.4774948	0.30812833	0.21437682
明日，吾友当诣第二瀑布之次， 	 neutral 	0.4774948	0.30812833	0.21437682
有水马蹲踞芦中，大神曼浓（希腊神话：曙光之子，死于多罗之战者。又埃及尼罗川畔，有巨人象二，一为曼浓，每当日光照及，耳发大声，如弹箜篌，希腊巴沙尼亚著书云。） 	 neutral 	0.4774948	0.30812833	0.21437682
据华石之坐，终夜视星，逮启明一曜，悦而大呼，后复永寂。 	 positive 	0.598444	0.24664664	0.15490942
及日卓午，有黄师子至川畔饮水， 	 neutral 	0.4774948	0.30812833	0.21437682
目色如碧，吼声陡作，高于瀑布之音矣。” 	 neutral 	0.4774948	0.30812833	0.21437682
王子曰：“燕子！燕子！远去此地，高楼之中，有一少年。 	 neutral 	0.4774948	0.30812833	0.21437682
几上纸笔乱杂，侧置瓦缶，紺色槁华一束在焉。 	 negative 	0.423509	0.3976891	0.17880188
黄发卷曲，唇绛如榴华，目巨而幽秘， 	 positive 	0.598444	0.24664664	0.15490942
彼方为梨园主者作传奇，顾天寒不复能书， 	 positive 	0.598444	0.24664664	0.15490942
炉中无火，且久馁垂晕矣。” 	 negative 	0.423509	0.3976891	0.17880188
燕心甚慈，闻之曰：“吾当更住一宵， 	 positive 	0.598444	0.24664664	0.15490942
将复赍琼瑶以赠之与？” 	 neutral 	0.4774948	0.30812833	0.21437682
王子曰：“惜吾无复有琼瑶矣。今兹所余，惟吾双目， 	 neutral 	0.4774948	0.30812833	0.21437682
两皆碧玉，一千年前得自印度者。 	 neutral 	0.4774948	0.30812833	0.21437682
可取其一，持赠少年， 	 neutral 	0.4774948	0.30812833	0.21437682
俾得货诸玉人，以易薪米，竟此传奇也。” 	 negative 	0.423509	0.3976891	0.17880188
燕曰：“王子，吾不能为是也。”乃泣。 	 negative 	0.423509	0.3976891	0.17880188
王子曰：“燕子，燕子，汝第如吾命而行耳。” 	 positive 	0.598444	0.24664664	0.15490942
燕乃取王子一目，飞就少年楼上。 	 neutral 	0.4774948	0.30812833	0.21437682
见屋脊有穴，因得潜入， 	 neutral 	0.4774948	0.30812833	0.21437682
回翔室中。 	 neutral 	0.4774948	0.30812833	0.21437682
少年方以两手支头，不闻燕子羽声，及后举首，始见碧玉委槁华间，惊起呼曰： 	 neutral 	0.4774948	0.30812833	0.21437682
“吾初为人所赏矣。是必知音所寄， 	 neutral 	0.4774948	0.30812833	0.21437682
吾今可竟此曲矣。”乃大悦。 	 positive 	0.598444	0.24664664	0.15490942
次日，燕至海滨， 	 neutral 	0.4774948	0.30812833	0.21437682
止大舟檣上，视人以辘轿挽巨匣出， 	 neutral 	0.4774948	0.30812833	0.21437682
每出一匣，邪许之声即起。 	 neutral 	0.4774948	0.30812833	0.21437682
燕曰：“吾行往埃及矣。”顾人咸弗之理。逮月上，返语安乐王子曰： 	 neutral 	0.4774948	0.30812833	0.21437682
“吾今来语君珍重矣。” 	 positive 	0.598444	0.24664664	0.15490942
王子曰：“燕子，燕子，汝不能更住一宵乎？” 	 neutral 	0.4774948	0.30812833	0.21437682
燕曰：“今为冬日，未几，冰雪且至矣。 	 neutral 	0.4774948	0.30812833	0.21437682
日出埃及，照棕桐绿叶之上，其光温煦。鳄鱼卧泥途中，悠然四顾。 	 positive 	0.598444	0.24664664	0.15490942
吾友已构巢波尔贝克庙中。红白二色神鸽，集而凝睇，或相呼唤，各求其偶。 	 neutral 	0.4774948	0.30812833	0.21437682
吾今当别王子，惟永不相忘，及春归来，当献美玉， 	 neutral 	0.4774948	0.30812833	0.21437682
绛者色逾葬华，碧者色如海水也。” 	 neutral 	0.4774948	0.30812833	0.21437682
王子曰：“吾见道上有一女儿，携燧求售， 	 neutral 	0.4774948	0.30812833	0.21437682
己忽坠入沟中，燧皆败矣。 	 negative 	0.423509	0.3976891	0.17880188
若薄暮不将钱归，父必见挞，女乃啼泣， 	 negative 	0.423509	0.3976891	0.17880188
碁足无袜履，露顶而立。 	 negative 	0.423509	0.3976891	0.17880188
今可取吾目贻之，俾免于挞也。” 	 neutral 	0.4774948	0.30812833	0.21437682
燕曰:“吾当少留，惟不能更取君目, 	 neutral 	0.4774948	0.30812833	0.21437682
尔者君且瞽矣。” 	 neutral 	0.4774948	0.30812833	0.21437682
王子曰：“燕子，燕子，汝第如吾命而行耳。” 	 positive 	0.598444	0.24664664	0.15490942
燕乃取玉，瞥然疾下， 	 neutral 	0.4774948	0.30812833	0.21437682
过女儿之侧，以玉置掌中。 	 neutral 	0.4774948	0.30812833	0.21437682
女视之曰：“可爱哉此琉璃也！”遂笑而归家。 	 positive 	0.598444	0.24664664	0.15490942
燕归语王子曰： 	 neutral 	0.4774948	0.30812833	0.21437682
“君今已瞽，吾愿永为君伴矣。” 	 positive 	0.598444	0.24664664	0.15490942
王子曰:“燕子幸毋尔！汝今可往埃及耳。” 	 positive 	0.598444	0.24664664	0.15490942
燕曰：“吾愿永为君伴矣随眠王子足次。 	 positive 	0.598444	0.24664664	0.15490942
次日，燕集王子肩上，为语异域故事。 	 neutral 	0.4774948	0.30812833	0.21437682
有鶴绛色，矗立尼罗水裔，捕金鱼食之。斯芬克思（此言扼者，狮身女面，以隐语难行客，不能答则杀之，见希腊神话。）与世同寿，住瀚海中，知宇宙之阙。商人扶橐驼而步，手持琥珀珠串。月山之王，色黑如旃檀，礼一水精。巨蛇深碧，睡棕桐树间，有长老二十众，进蜜饵饲之。像侥之民，以木叶为舟，泛湖水中，恒与蝶战。 	 neutral 	0.4774948	0.30812833	0.21437682
王子曰：“燕子告我事诚奇矣，顾最奇者，则人世艰辛也。 	 positive 	0.598444	0.24664664	0.15490942
世无玄秘，更深于忧患者矣。 	 negative 	0.423509	0.3976891	0.17880188
汝可飞行城中，告我所见。” 	 positive 	0.598444	0.24664664	0.15490942
燕子乃去，见华屋之中，众方行乐，丐者坐于门外。 	 neutral 	0.4774948	0.30812833	0.21437682
又入幽巷，有小儿寒饿，色皆惨白，引首外望。 	 negative 	0.423509	0.3976891	0.17880188
桥下有二儿，相抱而卧，藉以取温， 	 neutral 	0.4774948	0.30812833	0.21437682
皆曰：“吾侪饥甚矣。” 	 neutral 	0.4774948	0.30812833	0.21437682
守者则叱之曰:“汝毋得卧此。”儿乃起，旁皇雨中。 	 negative 	0.423509	0.3976891	0.17880188
燕归，以告王子。 	 positive 	0.598444	0.24664664	0.15490942
王子曰：“吾身遍被纯金，可叶叶取之，以与穷人。彼生人恒以为金能造福也。” 	 neutral 	0.4774948	0.30812833	0.21437682
燕如言，取金叶与之。王子色渐黯澹， 	 negative 	0.423509	0.3976891	0.17880188
而贫儿貌皆润泽，嬉笑游道上曰： 	 positive 	0.598444	0.24664664	0.15490942
“吾侪今得食矣。” 	 neutral 	0.4774948	0.30812833	0.21437682
未几雪至，继以坚冰， 	 neutral 	0.4774948	0.30812833	0.21437682
道路皆冻，皓然作银色。人家檐下冰筋下垂，如水精匕首。行人咸御重裘，儿童戴绛巾，群走冰上。 	 negative 	0.423509	0.3976891	0.17880188
燕渐寒不可支，惟爱王子甚，卒不忍去。 	 negative 	0.423509	0.3976891	0.17880188
仅飞就店头，乘饼师他顾，啄雑屑食之，又拍翼以自暖。 	 neutral 	0.4774948	0.30812833	0.21437682
已而燕知将死， 	 negative 	0.423509	0.3976891	0.17880188
奋力一飞，更上王子肩头曰： 	 positive 	0.598444	0.24664664	0.15490942
“王子珍重！今垂别，能许我一吻王子手耶？” 	 positive 	0.598444	0.24664664	0.15490942
王子曰：“燕子今归埃及，吾甚悦也。汝滞此已久矣。第今当吻吾口，吾爱汝至也。” 	 positive 	0.598444	0.24664664	0.15490942
燕曰：“吾行非趣埃及， 	 neutral 	0.4774948	0.30812833	0.21437682
特往死之家耳。 	 negative 	0.423509	0.3976891	0.17880188
彼死非眠之弟乎？” 	 negative 	0.423509	0.3976891	0.17880188
乃吻王子，随坠，死于足下。 	 negative 	0.423509	0.3976891	0.17880188
时有异声发于象中，若物破裂， 	 negative 	0.423509	0.3976891	0.17880188
金人铅心，碎为二矣。 	 negative 	0.423509	0.3976891	0.17880188
夜来冰寒殊冽也! 	 negative 	0.423509	0.3976891	0.17880188
侵晨,市长偕议员行过象下， 	 negative 	0.423509	0.3976891	0.17880188
止而仰视，囈喑曰：“噫,安乐王子今日貌何委琐耶！” 	 positive 	0.598444	0.24664664	0.15490942
议员恒顺市长意，应声曰：“貌何委琐耶！”皆趋前观之。 	 negative 	0.423509	0.3976891	0.17880188
市长曰：“剑上琼瑶已失，二目亦去，且更无金色，直不殊一乞儿矣疽。” 	 negative 	0.423509	0.3976891	0.17880188
议员皆曰：“不殊一乞儿矣。” 	 neutral 	0.4774948	0.30812833	0.21437682
市长曰：“足下且有死鸟。 	 negative 	0.423509	0.3976891	0.17880188
吾意当发告谕，禁鸟雀毋得死此。” 	 neutral 	0.4774948	0.30812833	0.21437682
书记即抽笔志之。 	 neutral 	0.4774948	0.30812833	0.21437682
众曳王子象仆之。 	 positive 	0.598444	0.24664664	0.15490942
大学美术教师曰：“彼既不美，即亦无用矣。” 	 neutral 	0.4774948	0.30812833	0.21437682
众支炉熔象。市长集人议所以处之， 	 neutral 	0.4774948	0.30812833	0.21437682
曰：“吾侪当别铸金人，其象应属我也。” 	 neutral 	0.4774948	0.30812833	0.21437682
议员皆曰：“应属我。”继乃相斗。 	 neutral 	0.4774948	0.30812833	0.21437682
吾前闻之，斗犹未止也。 	 neutral 	0.4774948	0.30812833	0.21437682
冶工之长曰：“异哉！ 	 negative 	0.423509	0.3976891	0.17880188
铅心在炉，久不熔化， 	 neutral 	0.4774948	0.30812833	0.21437682
会当弃之耳。” 	 negative 	0.423509	0.3976891	0.17880188
乃投诸尘屯之上，而死燕亦在焉。 	 neutral 	0.4774948	0.30812833	0.21437682
天帝命其使者曰：“试为我携城中二宝来。”使者取心及死燕进。 	 neutral 	0.4774948	0.30812833	0.21437682
帝曰：“善！燕子当令作歌园中，安乐王子居金城,为吾诵也。” 	 positive 	0.598444	0.24664664	0.15490942
莺和玫瑰（1921） 	 neutral 	0.4774948	0.30812833	0.21437682
那少年学生哭着说：“伊说过的，要是我送伊一朵红蔷薇，伊便和我跳舞了。可我的花园里没有红蔷薇呵” 	 neutral 	0.4774948	0.30812833	0.21437682
莺儿在槲树里的巢上听着，从树叶中间向外张望，心里很是诧异。 	 negative 	0.423509	0.3976891	0.17880188
他美丽的眼睛充满了泪水哭着说：“没有红蔷薇在我那花园里！ 	 negative 	0.423509	0.3976891	0.17880188
幸福是靠着这么一件小事呵！一切圣贤人写下的我都读过，一切哲学的秘密我都知道，但没有一朵红蔷薇花，竟会得把我生活伤坏呢。” 	 negative 	0.423509	0.3976891	0.17880188
莺儿说：“这倒是一个真正的‘有情人’了。 	 neutral 	0.4774948	0.30812833	0.21437682
我虽没认得‘有情人’，可是每日晚上歌咏他，每日晚上把他的故事说给星星听，现在我居然见着他了。 	 positive 	0.598444	0.24664664	0.15490942
他的头发和风信子一样黑，他的嘴唇和他所要的蔷薇花一样红；可是‘伤感’使他面庞像一块苍白的象牙，‘忧愁’又在他额上盖了个印子。” 	 negative 	0.423509	0.3976891	0.17880188
少年学生自语道：“明天晚上王子开跳舞会，我那爱的是在场的。 	 neutral 	0.4774948	0.30812833	0.21437682
要是我送伊一朵红蔷薇，伊便同我跳舞到天明。 	 positive 	0.598444	0.24664664	0.15490942
要是我送伊一朵红蔷薇，我便好把伊抱在臂上，伊的头靠着我的肩，伊的手握着我的手。 	 neutral 	0.4774948	0.30812833	0.21437682
可是我的花园里没有红蔷薇，所以我只有孤零零的坐着，伊将在我旁边走过， 	 neutral 	0.4774948	0.30812833	0.21437682
全不理会我，于是我的心将要碎了。” 	 negative 	0.423509	0.3976891	0.17880188
莺儿说：“确凿是个真正的‘有情人’了。 	 neutral 	0.4774948	0.30812833	0.21437682
他所吃苦的，是我所歌咏的；他当作苦痛的，是我当作欢乐的。 	 neutral 	0.4774948	0.30812833	0.21437682
‘爱情’确是一件奇异的东西。 	 positive 	0.598444	0.24664664	0.15490942
这东西比碧玉更宝贵，比猫眼石更值钱。 	 positive 	0.598444	0.24664664	0.15490942
这不是珍珠和石榴所能买得的，也不是陈列在市上的。 	 neutral 	0.4774948	0.30812833	0.21437682
这不是可以向店家去买的，也不是秤黄金的天平所能秤的。” 	 neutral 	0.4774948	0.30812833	0.21437682
少年学生说：“奏乐的人坐在廊下把丝弦奏着，我那爱的合着箜篌胡琴的声音跳舞着。伊跳舞起来这样轻捷，甚至于足不着地，那些穿华服的献媚的人聚在伊周围。 	 positive 	0.598444	0.24664664	0.15490942
可是我呢，伊将不同我跳舞，因为我没有红蔷薇送给伊。”于是他倒在草地上，手捧着头大哭起来。 	 negative 	0.423509	0.3976891	0.17880188
一双小绿蜥蜴竖着尾巴在他旁边跑过，问道：“他为什么哭呵？” 	 negative 	0.423509	0.3976891	0.17880188
一双蝴蝶在太阳光下飞着说：“真的为什么呵？” 	 neutral 	0.4774948	0.30812833	0.21437682
一枝延命菊用和缓低弱的声调，向邻居说：“真的为什么呵？” 	 neutral 	0.4774948	0.30812833	0.21437682
莺儿说：“他是为着红蔷薇哭。” 	 neutral 	0.4774948	0.30812833	0.21437682
他们都叫起来：“为红蔷薇么！真是笑话！”小蜥蜴是喜欢嘲笑的，便大笑起来。 	 positive 	0.598444	0.24664664	0.15490942
但莺儿知道学生的心事，伊静静的坐在槲树里，心里想着“爱之神秘。” 	 neutral 	0.4774948	0.30812833	0.21437682
伊忽然展开棕色的翅膀向空中高飞。 	 neutral 	0.4774948	0.30812833	0.21437682
像影一般的飞越过丛林，又像影一般的横过花园。 	 neutral 	0.4774948	0.30812833	0.21437682
在草地中央栽着一株美丽的蔷薇树，伊见了便飞到上面楼在枝上。 	 positive 	0.598444	0.24664664	0.15490942
伊叫道：“给我一朵红蔷薇，我唱顶好听的歌给你听。” 	 positive 	0.598444	0.24664664	0.15490942
但树摇摇头。 	 neutral 	0.4774948	0.30812833	0.21437682
树答说：“我的花是白的；和海水泡沫一样白，比山上的雪更要白。 	 neutral 	0.4774948	0.30812833	0.21437682
但请你到我兄弟那边去。他生在那旧日晷的周围。说不定他会把你所要的给你的。” 	 neutral 	0.4774948	0.30812833	0.21437682
于是莺儿飞到生在旧日晷周围的那蔷薇树上头。 	 neutral 	0.4774948	0.30812833	0.21437682
伊叫道：“给我一朵红蔷薇花，我唱顶好听的歌给你听。” 	 positive 	0.598444	0.24664664	0.15490942
但树摇摇头。 	 neutral 	0.4774948	0.30812833	0.21437682
树答说：“我的花是黄的；和坐在琥珀座上的Mermaiden的头发一样黄，比在刈草的人拿镰子过来之前开在草场上的水仙花更要黄。 	 neutral 	0.4774948	0.30812833	0.21437682
但请你到我兄弟那边去。他生在那学生的窗子下面。说不定他会把你所要的给你的。” 	 neutral 	0.4774948	0.30812833	0.21437682
于是莺儿飞到生在学生的窗子下面的那蔷薇树上头。 	 neutral 	0.4774948	0.30812833	0.21437682
伊叫道：“给我一朵红蔷薇花，我唱顶好听的歌给你听。” 	 positive 	0.598444	0.24664664	0.15490942
但树摇摇头。 	 neutral 	0.4774948	0.30812833	0.21437682
树答说：“我的花是红的；和鸽子的脚一样红，比在海窟里飘来飘去的珊瑚的大扇子更红。 	 positive 	0.598444	0.24664664	0.15490942
但我的脉管被寒天冻凝了，我的嫩芽被霜雪摧残了，我的枝叶被风雨打坏了，我今年不会开花了。” 	 negative 	0.423509	0.3976891	0.17880188
莺儿叫道：“我只要一朵红蔷薇就够了。只要一朵红蔷薇！有什么法子想么？” 	 neutral 	0.4774948	0.30812833	0.21437682
树答说：“法子是有一个；但这法子太可怕了，我不好和你说。” 	 negative 	0.423509	0.3976891	0.17880188
莺儿说：“和我说了罢，我不会害怕的。” 	 neutral 	0.4774948	0.30812833	0.21437682
树说：“你若是要一朵红蔷薇，你可以在月光下用音乐做出来，再把你心里的血染上去。 	 neutral 	0.4774948	0.30812833	0.21437682
你一边向着我歌唱，一边把你的胸膛贴在我的刺上。 	 neutral 	0.4774948	0.30812833	0.21437682
你整夜的唱着，那刺刺着你的心，你的命血流进我的脉管里，便变成我的血了。” 	 negative 	0.423509	0.3976891	0.17880188
莺儿叫道：“拼着死换得一朵红蔷薇，这价钱太大了。生命是比什么都可贵的。 	 positive 	0.598444	0.24664664	0.15490942
坐在碧绿的树林里，看看驾着金车的太阳，又看看驾着珠车的月亮，多少快活！ 	 positive 	0.598444	0.24664664	0.15490942
山栌的气味多少香，躲在谷里的百合，和开在山上的灌木又是多少香！ 	 positive 	0.598444	0.24664664	0.15490942
但爱情总比生命更好些，而且鸟的心那里比得人的心呢？” 	 neutral 	0.4774948	0.30812833	0.21437682
于是伊展开棕色的翅膀飞到空中。 	 neutral 	0.4774948	0.30812833	0.21437682
像影一般的掠过花园，又像影一般的飞过丛林。 	 neutral 	0.4774948	0.30812833	0.21437682
那少年学生还是照旧的躺在草地上，他美丽的眼中泪还没有干。 	 negative 	0.423509	0.3976891	0.17880188
莺儿叫道：“不要悲伤，不要悲伤，你不久便有你的红蔷薇了。 	 neutral 	0.4774948	0.30812833	0.21437682
我将在月光下用音乐做出来，再把我心里的血染上去。 	 neutral 	0.4774948	0.30812833	0.21437682
我不要你的酬劳，只要你是个真的‘有情人’便好了；因为‘哲理’虽智慧，爱情却比‘哲理’更智慧，‘权势’虽强大，爱情却比‘权势’更强大。 	 positive 	0.598444	0.24664664	0.15490942
爱情的翅膀是火焰色；爱情的本能也是像火焰的。 	 neutral 	0.4774948	0.30812833	0.21437682
