sentence	positive	neutral	negative
He is trying to finish a play for the Director of the Theatre, but he is too cold to write any more. 	0.11110061	0.43357334	0.45532602
There is no fire in the grate, and hunger has made him faint." 	0.11110061	0.43357334	0.45532602
I will wait with you one night longer, said the Swallow, who really had a good heart. "Shall I take him another ruby?" 	0.56479144	0.3808266	0.05438204
Alas! I have no ruby now, said the Prince; "my eyes are all that I have left. 	0.27574214	0.52749896	0.19675897
They are made of rare sapphires, which were brought out of India a thousand years ago. 	0.27574214	0.52749896	0.19675897
Pluck out one of them and take it to him. 	0.27574214	0.52749896	0.19675897
He will sell it to the jeweller, and buy food and firewood, and finish his play." 	0.27574214	0.52749896	0.19675897
Dear Prince, said the Swallow, "I cannot do that"; and he began to weep. 	0.11110061	0.43357334	0.45532602
Swallow, Swallow, little Swallow, said the Prince, "do as I command you." 	0.56479144	0.3808266	0.05438204
So the Swallow plucked out the Prince's eye, and flew away to the student's garret. 	0.27574214	0.52749896	0.19675897
It was easy enough to get in, as there was a hole in the roof. 	0.11110061	0.43357334	0.45532602
Through this he darted, and came into the room. 	0.27574214	0.52749896	0.19675897
The young man had his head buried in his hands, so he did not hear the flutter of the bird's 	0.11110061	0.43357334	0.45532602
wings, and when he looked up he found the beautiful sapphire lying on the withered violets. 	0.27574214	0.52749896	0.19675897
I am beginning to be appreciated, he cried; "this is from some great admirer. 	0.56479144	0.3808266	0.05438204
Now I can finish my play," and he looked quite happy. 	0.56479144	0.3808266	0.05438204
The next day the Swallow flew down to the harbour. He sat on the mast of a large vessel and 	0.27574214	0.52749896	0.19675897
watched the sailors hauling big chests out of the hold with ropes. 	0.27574214	0.52749896	0.19675897
Heave a-hoy! they shouted as each chest came up. 	0.27574214	0.52749896	0.19675897
I am going to Egypt! cried the Swallow, but nobody minded, and when the moon rose he flew back to the Happy Prince. 	0.27574214	0.52749896	0.19675897
I am come to bid you good-bye, he cried. 	0.56479144	0.3808266	0.05438204
Swallow, Swallow, little Swallow, said the Prince, "will you not stay with me one night longer?" 	0.27574214	0.52749896	0.19675897
It is winter, answered the Swallow, "and the chill snow will soon be here. 	0.56479144	0.3808266	0.05438204
In Egypt the sun is warm on the green palm-trees, and the crocodiles lie in the mud and look lazily about them. 	0.11110061	0.43357334	0.45532602
My companions are building a nest in the Temple of Baalbec, and the pink and white doves are watching them, and cooing to each other. 	0.27574214	0.52749896	0.19675897
Dear Prince, I must leave you, but I will never forget you, and next spring I will bring you back two beautiful jewels in place of those you have given away. 	0.56479144	0.3808266	0.05438204
The ruby shall be redder than a red rose, and the sapphire shall be as blue as the great sea." 	0.56479144	0.3808266	0.05438204
In the square below, said the Happy Prince, "there stands a little match-girl. 	0.27574214	0.52749896	0.19675897
She has let her matches fall in the gutter, and they are all spoiled. 	0.11110061	0.43357334	0.45532602
Her father will beat her if she does not bring home some money, and she is crying. 	0.11110061	0.43357334	0.45532602
She has no shoes or stockings, and her little head is bare. 	0.11110061	0.43357334	0.45532602
Pluck out my other eye, and give it to her, and her father will not beat her."  	0.27574214	0.52749896	0.19675897
I will stay with you one night longer, said the Swallow, "but I cannot pluck out your eye. 	0.27574214	0.52749896	0.19675897
You would be quite blind then." 	0.11110061	0.43357334	0.45532602
Swallow, Swallow, little Swallow, said the Prince, "do as I command you." 	0.56479144	0.3808266	0.05438204
So he plucked out the Prince's other eye, and darted down with it. 	0.27574214	0.52749896	0.19675897
He swooped past the match-girl, and slipped the jewel into the palm of her hand. 	0.27574214	0.52749896	0.19675897
What a lovely bit of glass, cried the little girl; and she ran home, laughing. 	0.56479144	0.3808266	0.05438204
Then the Swallow came back to the Prince. 	0.27574214	0.52749896	0.19675897
You are blind now, he said, "so I will stay with you always." 	0.27574214	0.52749896	0.19675897
No, little Swallow, said the poor Prince, "you must go away to Egypt." 	0.11110061	0.43357334	0.45532602
I will stay with you always, said the Swallow, and he slept at the Prince's feet. 	0.56479144	0.3808266	0.05438204
All the next day he sat on the Prince's shoulder, and told him stories of what he had seen in strange lands. 	0.27574214	0.52749896	0.19675897
He told him of the red ibises, who stand in long rows on the banks of the Nile, and catch gold-fish in their beaks; of the Sphinx, who is as old as the world itself, and lives in the desert, and knows everything; of the merchants, who walk slowly by the side of their camels, and carry amber beads in their hands; of the King of the Mountains of the Moon, who is as black as ebony, and worships a large crystal; of the great green snake that sleeps in a palm-tree, and has twenty priests to feed it with honey-cakes; and of the pygmies who sail over a big lake on large flat leaves, and are always at war with the butterflies. 	0.27574214	0.52749896	0.19675897
Dear little Swallow, said the Prince, "you tell me of marvellous things, but more marvellous than anything is the suffering of men and of women. 	0.56479144	0.3808266	0.05438204
There is no Mystery so great as Misery. 	0.56479144	0.3808266	0.05438204
Fly over my city, little Swallow, and tell me what you see there." 	0.27574214	0.52749896	0.19675897
So the Swallow flew over the great city, and saw the rich making merry in their beautiful houses, while the beggars were sitting at the gates. 	0.56479144	0.3808266	0.05438204
He flew into dark lanes, and saw the white faces of starving children looking out listlessly at the black streets. 	0.11110061	0.43357334	0.45532602
Under the archway of a bridge two little boys were lying in one another's arms to try and keep themselves warm. 	0.27574214	0.52749896	0.19675897
How hungry we are! they said. 	0.11110061	0.43357334	0.45532602
You must not lie here, shouted the Watchman, and they wandered out into the rain. 	0.11110061	0.43357334	0.45532602
Then he flew back and told the Prince what he had seen. 	0.27574214	0.52749896	0.19675897
I am covered with fine gold, said the Prince, "you must take it off, leaf by leaf, and give it to my poor; the living always think that gold can make them happy." 	0.56479144	0.3808266	0.05438204
Leaf after leaf of the fine gold the Swallow picked off, till the Happy Prince looked quite dull and grey. 	0.11110061	0.43357334	0.45532602
Leaf after leaf of the fine gold he brought to the poor, and the children's faces grew rosier, and they laughed and played games in the street. 	0.56479144	0.3808266	0.05438204
We have bread now! they cried. 	0.11110061	0.43357334	0.45532602
Then the snow came, and after the snow came the frost. 	0.27574214	0.52749896	0.19675897
The streets looked as if they were made of silver, they were so bright and glistening; long icicles like crystal daggers hung down from the eaves of the houses, everybody went about in furs, and the little boys wore scarlet caps and skated on the ice.  	0.27574214	0.52749896	0.19675897
The poor little Swallow grew colder and colder, but he would not leave the Prince, he loved him too well. 	0.11110061	0.43357334	0.45532602
He picked up crumbs outside the baker's door when the baker was not looking and tried to keep himself warm by flapping his wings. 	0.27574214	0.52749896	0.19675897
But at last he knew that he was going to die. He had just strength to fly up to the Prince's shoulder once more. 	0.27574214	0.52749896	0.19675897
Good-bye, dear Prince! he murmured, "will you let me kiss your hand?" 	0.56479144	0.3808266	0.05438204
I am glad that you are going to Egypt at last, little Swallow, said the Prince, "you have stayed too long here; but you must kiss me on the lips, for I love you." 	0.56479144	0.3808266	0.05438204
It is not to Egypt that I am going, said the Swallow. 	0.27574214	0.52749896	0.19675897
I am going to the House of Death.	0.27574214	0.52749896	0.19675897
Death is the brother of Sleep, is he not?" 	0.27574214	0.52749896	0.19675897
And he kissed the Happy Prince on the lips, and fell down dead at his feet. 	0.27574214	0.52749896	0.19675897
At that moment a curious crack sounded inside the statue, as if something had broken. 	0.11110061	0.43357334	0.45532602
The fact is that the leaden heart had snapped right in two. 	0.27574214	0.52749896	0.19675897
It certainly was a dreadfully hard frost. 	0.11110061	0.43357334	0.45532602
Early the next morning the Mayor was walking in the square below in company with the Town Councillors. 	0.27574214	0.52749896	0.19675897
As they passed the column he looked up at the statue: "Dear me! how shabby the Happy Prince looks!" he said. 	0.11110061	0.43357334	0.45532602
How shabby indeed! cried the Town Councillors, who always agreed with the Mayor; and they went up to look at it. 	0.11110061	0.43357334	0.45532602
The ruby has fallen out of his sword, his eyes are gone, and he is golden no longer, said the Mayor in fact, "he is litttle beter than a beggar!" 	0.11110061	0.43357334	0.45532602
Little better than a beggar, said the Town Councillors. 	0.27574214	0.52749896	0.19675897
And here is actually a dead bird at his feet! continued the Mayor. 	0.11110061	0.43357334	0.45532602
We must really issue a proclamation that birds are not to be allowed to die here. 	0.11110061	0.43357334	0.45532602
And the Town Clerk made a note of the suggestion. 	0.27574214	0.52749896	0.19675897
So they pulled down the statue of the Happy Prince. 	0.27574214	0.52749896	0.19675897
As he is no longer beautiful he is no longer useful, said the Art Professor at the University. 	0.27574214	0.52749896	0.19675897
Then they melted the statue in a furnace, and the Mayor held a meeting of the Corporation to decide what was to be done with the metal. 	0.27574214	0.52749896	0.19675897
We must have another statue, of course, he said, "and it shall be a statue of myself." 	0.27574214	0.52749896	0.19675897
Of myself, said each of the Town Councillors, and they quarrelled. 	0.27574214	0.52749896	0.19675897
When I last heard of them they were quarrelling still. 	0.11110061	0.43357334	0.45532602
What a strange thing! said the overseer of the workmen at the foundry. 	0.11110061	0.43357334	0.45532602
This broken lead heart will not melt in the furnace.	0.11110061	0.43357334	0.45532602
We must throw it away." 	0.11110061	0.43357334	0.45532602
So they threw it on a dust-heap where the dead Swallow was also lying. 	0.11110061	0.43357334	0.45532602
Bring me the two most precious things in the city, said God to one of His Angels; and the Angel brought Him the leaden heart and the dead bird. 	0.56479144	0.3808266	0.05438204
You have rightly chosen, said God, "for in my garden of Paradise this little bird shall sing for evermore, and in my city of gold the Happy Prince shall praise me." 	0.56479144	0.3808266	0.05438204
THE NIGHTINGALE AND THE ROSE 	0.27574214	0.52749896	0.19675897
She said that she would dance with me if I brought her red roses, cried the young Student; "but in all my garden there is no red rose." 	0.27574214	0.52749896	0.19675897
From her nest in the holm-oak tree the Nightingale heard him, and she looked out through the leaves, and wondered. 	0.27574214	0.52749896	0.19675897
No red rose in all my garden! he cried, and his beautiful eyes filled with tears. 	0.11110061	0.43357334	0.45532602
Ah, on what little things does happiness depend! I have read all that the wise men have written, and all the secrets of philosophy are mine, yet for want of a red rose is my life made wretched. 	0.56479144	0.3808266	0.05438204
Here at last is a true lover, said the Nightingale. 	0.56479144	0.3808266	0.05438204
Night after night have I sung of him, though I knew him not: night after night have I told his story to the stars, and now I see him.	0.56479144	0.3808266	0.05438204
His hair is dark as the hyacinth-blossom, and his lips are red as the rose of his desire; but passion has made his face like pale ivory, and sorrow has set her seal upon his brow." 	0.56479144	0.3808266	0.05438204
The Prince gives a ball to-morrow night, murmured the young Student, "and my love will be of the company. 	0.56479144	0.3808266	0.05438204
If I bring her a red rose she will dance with me till dawn. 	0.56479144	0.3808266	0.05438204
If I bring her a red rose, I shall hold her in my arms, and she will lean her head upon my shoulder, and her hand will be clasped in mine. 	0.27574214	0.52749896	0.19675897
But there is no red rose in my garden, so I shall sit lonely, and she will pass me by. 	0.11110061	0.43357334	0.45532602
She will have no heed of me, and my heart will break." 	0.11110061	0.43357334	0.45532602
Here indeed is the true lover, said the Nightingale. 	0.56479144	0.3808266	0.05438204
What I sing of, he suffers--what is joy to me, to him is pain.	0.11110061	0.43357334	0.45532602
Surely Love is a wonderful thing. 	0.56479144	0.3808266	0.05438204
It is more precious than emeralds, and dearer than fine opals. 	0.56479144	0.3808266	0.05438204
Pearls and pomegranates cannot buy it, nor is it set forth in the marketplace. 	0.27574214	0.52749896	0.19675897
It may not be purchased of the merchants, nor can it be weighed out in the balance for gold." 	0.27574214	0.52749896	0.19675897
The musicians will sit in their gallery, said the young Student, "and play upon their stringed instruments, and my love will dance to the sound of the harp and the violin. 	0.56479144	0.3808266	0.05438204
She will dance so lightly that her feet will not touch the floor, and the courtiers in their gay dresses will throng round her. 	0.27574214	0.52749896	0.19675897
But with me she will not dance, for I have no red rose to give her"; and he flung himself down on the grass, and buried his face in his hands, and wept. 	0.11110061	0.43357334	0.45532602
Why is he weeping? asked a little Green Lizard, as he ran past him with his tail in the air. 	0.11110061	0.43357334	0.45532602
Why, indeed? said a Butterfly, who was fluttering about after a sunbeam. 	0.27574214	0.52749896	0.19675897
Why, indeed? whispered a Daisy to his neighbour, in a soft, low voice. 	0.11110061	0.43357334	0.45532602
He is weeping for a red rose, said the Nightingale. 	0.27574214	0.52749896	0.19675897
For a red rose? they cried; "how very ridiculous!" and the little Lizard, who was something of a cynic, laughed outright. 	0.11110061	0.43357334	0.45532602
But the Nightingale understood the secret of the Student's sorrow, and she sat silent in the oak-tree, and thought about the mystery of Love. 	0.27574214	0.52749896	0.19675897
Suddenly she spread her brown wings for flight, and soared into the air. 	0.27574214	0.52749896	0.19675897
She passed through the grove like a shadow, and like a shadow she sailed across the garden. 	0.27574214	0.52749896	0.19675897
In the centre of the grass-plot was standing a beautiful Rose-tree, and when she saw it she flew over to it, and lit upon a spray. 	0.27574214	0.52749896	0.19675897
Give me a red rose, she cried, "and I will sing you my sweetest song." 	0.56479144	0.3808266	0.05438204
But the Tree shook its head. 	0.11110061	0.43357334	0.45532602
My roses are white, it answered; "as white as the foam of the sea, and whiter than the snow upon the mountain. 	0.27574214	0.52749896	0.19675897
But go to my brother who grows round the old sun-dial, and perhaps he will give you what you want." 	0.56479144	0.3808266	0.05438204
So the Nightingale flew over to the Rose-tree that was growing round the old sun-dial. 	0.27574214	0.52749896	0.19675897
Give me a red rose, she cried, "and I will sing you my sweetest song." 	0.56479144	0.3808266	0.05438204
But the Tree shook its head. 	0.11110061	0.43357334	0.45532602
My roses are yellow, it answered; "as yellow as the hair of the mermaiden who sits upon an amber throne, and yellower than the daffodil that blooms in the meadow before the mower comes with his scythe. 	0.56479144	0.3808266	0.05438204
But go to my brother who grows beneath the Student's window, and perhaps he will give you what you want." 	0.56479144	0.3808266	0.05438204
So the Nightingale flew over to the Rose-tree that was growing beneath the Student's window. 	0.27574214	0.52749896	0.19675897
Give me a red rose, she cried, "and I will sing you my sweetest song." 	0.56479144	0.3808266	0.05438204
But the Tree shook its head. 	0.11110061	0.43357334	0.45532602
My roses are red, it answered, "as red as the feet of the dove, and redder than the great fans of coral that wave and wave in the ocean-cavern. 	0.56479144	0.3808266	0.05438204
But the winter has chilled my veins, and the frost has nipped my buds, and the storm has broken my branches, and I shall have no roses at all this year." 	0.11110061	0.43357334	0.45532602
One red rose is all I want, cried the Nightingale, "only one red rose! Is there no way by which I can get it?" 	0.27574214	0.52749896	0.19675897
There is away, answered the Tree; "but it is so terrible that I dare not tell it to you." 	0.11110061	0.43357334	0.45532602
Tell it to me, said the Nightingale, "I am not afraid." 	0.27574214	0.52749896	0.19675897
If you want a red rose, said the Tree, "you must build it out of music by moonlight, and stain it with your own heart's-blood. 	0.27574214	0.52749896	0.19675897
You must sing to me with your breast against a thorn. 	0.27574214	0.52749896	0.19675897
All night long you must sing to me, and the thorn must pierce your heart, and your life-blood must flow into my veins, and become mine." 	0.56479144	0.3808266	0.05438204
Death is a great price to pay for a red rose, cried the Nightingale, "and Life is very dear to all. 	0.56479144	0.3808266	0.05438204
It is pleasant to sit in the green wood, and to watch the Sun in his chariot of gold, and the Moon in her chariot of pearl. 	0.56479144	0.3808266	0.05438204
Sweet is the scent of the hawthorn, and sweet are the bluebells that hide in the valley, and the heather that blows on the hill. 	0.56479144	0.3808266	0.05438204
Yet Love is better than Life, and what is the heart of a bird compared to the heart of a man?" 	0.27574214	0.52749896	0.19675897
So she spread her brown wings for flight, and soared into the air. 	0.27574214	0.52749896	0.19675897
She swept over the garden like a shadow, and like a shadow she sailed through the grove. 	0.27574214	0.52749896	0.19675897
The young Student was still lying on the grass, where she had left him, and the tears were not yet dry in his beautiful eyes. 	0.11110061	0.43357334	0.45532602
Be happy, cried the Nightingale, "be happy; you shall have your red rose. 	0.56479144	0.3808266	0.05438204
I will build it out of music by moonlight, and stain it with my own heart's-blood. 	0.27574214	0.52749896	0.19675897
All that I ask of you in return is that you will be a true lover, for Love is wiser than Philosophy, though she is wise, and mightier than Power, though he is mighty. 	0.56479144	0.3808266	0.05438204
Flamecoloured are his wings, and coloured like flame is his body. 	0.27574214	0.52749896	0.19675897
His lips are sweet as honey, and his breath is like frankincense." 	0.56479144	0.3808266	0.05438204
The Student looked up from the grass, and listened, but he could not understand what the Nightingale was saying to him, for he only knew the things that are written down in books. 	0.27574214	0.52749896	0.19675897
But the Oak-tree understood, and felt sad, for he was very fond of the little Nightingale who had built her nest in his branches. 	0.11110061	0.43357334	0.45532602
Sing me one last song, he whispered; "I shall feel very lonely when you are gone." 	0.11110061	0.43357334	0.45532602
So the Nightingale sang to the Oak-tree, and her voice was like water bubbling from a silver jar. 	0.27574214	0.52749896	0.19675897
When she had finished her song the Student got up, and pulled a note-book and a lead-pencil out of his pocket. 	0.27574214	0.52749896	0.19675897
She has form, he said to himself, as he walked away through the grove--"that cannot be denied to her; but has she got feeling? 	0.27574214	0.52749896	0.19675897
I am afraid not. 	0.11110061	0.43357334	0.45532602
In fact, she is like most artists; she is all style, without any sincerity. 	0.27574214	0.52749896	0.19675897
She would not sacrifice herself for others. 	0.27574214	0.52749896	0.19675897
She thinks merely of music, and everybody knows that the arts are selfish. 	0.11110061	0.43357334	0.45532602
Still, it must be admitted that she has some beautiful notes in her voice. 	0.56479144	0.3808266	0.05438204
What a pity it is that they do not mean anything, or do any practical good." 	0.11110061	0.43357334	0.45532602
And he went into his room, and lay down on his little pallet-bed, and began to think of his love; and, after a time, he fell asleep. 	0.27574214	0.52749896	0.19675897
